code,name
000003,PT金田A
000005,ST星源
000013,*ST石化A
000015,PT中浩A
000018,神城A退
000023,*ST深天
000024,招商地产
000033,新都退
000038,大通退
000040,*ST旭蓝
000046,*ST泛海
000047,ST中侨
000150,*ST宜康
000405,ST鑫光
000406,石油大明
000412,ST五环
000413,ST旭电
000416,*ST民控
000418,小天鹅A
000502,绿景退
000508,琼民源A
000511,烯碳退
000515,攀渝钛业
000522,白云山A
000527,美的电器
000535,*ST猴王
000540,*ST中天
000542,TCL通讯
000549,S湘火炬
000556,PT南洋
000562,宏源证券
000569,长城股份
000578,盐湖集团
000583,S*ST托普
000584,工智退
000585,东电退
000587,*ST金洲
000588,PT粤金曼
000594,国恒退
000602,金马集团
000606,顺利退
000611,天首退
000613,东海A退
000616,*ST海投
000618,吉林化工
000621,*ST比特
000622,恒立退
000627,*ST天茂
000653,ST九州
000658,ST海洋
000660,*ST南华
000662,天夏退
000666,经纬纺机
000667,ST美置
000671,ST阳光城
000673,当代退
000675,ST银山
000687,华讯退
000689,ST宏业
000693,华泽退
000699,S*ST佳纸
000730,*ST环保
000732,ST泰禾
000748,长城信息
000760,斯太退
000763,锦州石化
000765,*ST华信
000769,*ST大菲
000780,ST平能
000787,*ST创智
000805,*ST炎黄
000806,银河退
000817,辽河油田
000827,*ST长兴
000832,*ST龙涤
000835,长动退
000836,ST富通
000851,*ST高鸿
000861,海印股份
000866,扬子石化
000916,华北高速
000918,*ST嘉凯
000939,凯迪退
000956,中原油气
000961,ST中南
000971,*ST高升
000976,*ST华铁
000979,中弘退
000982,中银绒业
000991,通海高科
000996,中期退
001235,无效里得
002002,ST鸿达
002013,中航机电
002018,华信退
002070,众和退
002071,长城退
002087,新纺退
002089,新海退
002113,*ST天润
002118,*ST紫鑫
002143,印纪退
002147,新光退
002220,天宝退
002257,立立电子
002260,德奥退
002280,ST联络
002288,*ST超华
002308,*ST威创
002325,*ST洪涛
002336,人乐退
002341,ST新纶
002359,北讯退
002411,必康退
002417,深南退
002433,太安退
002435,ST长康
002447,晨鑫退
002450,康得退
002464,众应退
002473,圣莱退
002477,雏鹰退
002499,科林退
002502,ST鼎龙
002503,*ST搜特
002504,*ST弘高
002505,鹏都农牧
002509,天茂退
002525,胜景山河
002604,龙力退
002610,ST爱康
002618,丹邦退
002619,*ST艾格
002621,*ST美吉
002665,ST航高
002680,长生退
002684,猛狮退
002699,*ST美盛
002711,欧浦退
002720,宏良股份
002740,*ST爱迪
002750,龙津退
002751,易尚退
002770,科迪退
002776,*ST柏龙
002781,奇信退
300023,宝德退
300028,金亚退
300038,数知退
300060,无效恒久
300064,金刚退
300089,文化退
300090,盛运退
300104,乐视退
300108,*ST吉药
300116,*ST保力
300117,*ST嘉寓
300156,神雾退
300178,腾邦退
300186,大华农
300202,聚龙退
300208,中程退
300216,千山退
300262,*ST巴安
300273,和佳退
300280,紫天退
300282,三盛退
300297,蓝盾退
300309,吉艾退
300312,邦讯退
300325,德威退
300330,计通退
300336,新文退
300356,光一退
300361,奥赛康
300362,天翔退
300367,网力退
300372,欣泰退
300392,腾信退
300431,暴风退
300495,*ST美尚
300526,中潜退
300630,普利退
300728,天常股份
300742,越博退
300799,左江退
