['中国海油', '600938', 11521, ['2025-04-07', 23.23, 24.28, '2025-04-10', 24.44, 24.39, '2025-04-11', 24.24, 24.43]]
['中国石化', '600028', 6743, ['2025-04-07', 5.38, 5.55, '2025-04-08', 5.67, 5.66, '2025-04-09', 5.63, 5.65]]
['美的集团', '000333', 5401, ['2025-04-07', 67.18, 67.98, '2025-04-10', 71.09, 70.31, '2025-04-11', 70.49, 70.52]]
['五 粮 液', '000858', 5108, ['2025-04-07', 126.78, 127.36, '2025-04-08', 130.76, 130.5, '2025-04-11', 131.6, 132.2]]
['邮储银行', '601658', 5057, ['2025-04-01', 5.16, 5.17, '2025-04-03', 5.22, 5.2, '2025-04-07', 5.07, 5.13]]
['紫金矿业', '601899', 4558, ['2025-04-07', 15.41, 15.97, '2025-04-10', 16.75, 16.23, '2025-04-11', 17.15, 17.15]]
['中信银行', '601998', 3906, ['2025-04-07', 6.89, 6.91, '2025-04-10', 7.02, 7.01, '2025-04-11', 7.02, 7.07]]
['国泰海通', '601211', 2952, ['2025-04-08', 16.03, 16.09, '2025-04-10', 16.59, 16.28, '2025-04-11', 16.75, 16.8]]
['中国太保', '601601', 2899, ['2025-04-07', 29.09, 29.74, '2025-04-10', 30.42, 30.28, '2025-04-11', 30.14, 30.72]]
['海康威视', '002415', 2631, ['2025-04-08', 28.09, 28.1, '2025-04-10', 28.83, 28.58, '2025-04-11', 28.5, 28.6]]
['海尔智家', '600690', 2352, ['2025-04-07', 23.58, 25.08, '2025-04-10', 25.51, 25.02, '2025-04-11', 25.07, 25.48]]
['海天味业', '603288', 2337, ['2025-04-07', 39.3, 39.48, '2025-04-08', 41.2, 40.54, '2025-04-10', 42.2, 42.5]]
['中远海控', '601919', 2220, ['2025-04-07', 12.74, 13.38, '2025-04-10', 14.12, 13.56, '2025-04-11', 14.0, 14.12]]
['中国建筑', '601668', 2210, ['2025-04-07', 5.08, 5.16, '2025-04-08', 5.33, 5.25, '2025-04-10', 5.38, 5.42]]
['顺丰控股', '002352', 2088, ['2025-04-07', 40.07, 41.04, '2025-04-10', 42.3, 41.57, '2025-04-11', 41.88, 42.1]]
['赛力斯', '601127', 2078, ['2025-04-07', 113.8, 118.51, '2025-04-09', 125.0, 122.1, '2025-04-10', 126.5, 127.4]]
['中国中车', '601766', 1997, ['2025-04-07', 6.38, 6.71, '2025-04-08', 7.02, 6.84, '2025-04-10', 6.99, 7.22]]
['中国核电', '601985', 1898, ['2025-04-07', 8.99, 9.13, '2025-04-09', 9.28, 9.23, '2025-04-10', 9.27, 9.29]]
['国电南瑞', '600406', 1876, ['2025-04-07', 21.86, 21.89, '2025-04-08', 23.17, 22.27, '2025-04-10', 23.36, 24.6]]
['中国广核', '003816', 1782, ['2025-04-07', 3.41, 3.51, '2025-04-10', 3.56, 3.56, '2025-04-11', 3.53, 3.56]]
['上汽集团', '600104', 1754, ['2025-04-07', 13.92, 14.63, '2025-04-09', 15.2, 14.97, '2025-04-10', 15.05, 15.5]]
['民生银行', '600016', 1742, ['2025-04-01', 3.95, 3.95, '2025-04-02', 4.01, 3.98, '2025-04-03', 3.99, 4.0]]
['中国联通', '600050', 1691, ['2025-03-20', 5.71, 5.73, '2025-04-02', 5.58, 5.57, '2025-04-07', 5.2, 5.38]]
['三一重工', '600031', 1636, ['2025-04-07', 18.0, 18.36, '2025-04-09', 19.12, 18.83, '2025-04-10', 19.1, 19.4]]
['宁波银行', '002142', 1563, ['2025-04-09', 23.36, 23.37, '2025-04-10', 23.9, 23.89, '2025-04-11', 23.68, 23.75]]
['中国交建', '601800', 1517, ['2025-04-07', 8.68, 8.96, '2025-04-08', 9.25, 9.14, '2025-04-10', 9.51, 9.53]]
['招商证券', '600999', 1501, ['2025-04-08', 17.14, 17.15, '2025-04-10', 17.38, 17.26, '2025-04-11', 17.27, 17.3]]
['京东方Ａ', '000725', 1415, ['2025-03-25', 4.22, 4.22, '2025-04-01', 4.2, 4.2, '2025-04-03', 4.16, 4.18]]
['中国中免', '601888', 1405, ['2025-04-07', 56.57, 58.43, '2025-04-08', 60.79, 59.76, '2025-04-11', 67.95, 69.89]]
['中国中铁', '601390', 1402, ['2025-04-07', 5.34, 5.46, '2025-04-08', 5.63, 5.55, '2025-04-10', 5.69, 5.72]]
['华泰证券', '601688', 1400, ['2025-04-08', 14.93, 15.19, '2025-04-10', 15.54, 15.32, '2025-04-11', 15.51, 15.57]]
['中煤能源', '601898', 1308, ['2025-04-07', 9.73, 9.91, '2025-04-10', 10.07, 10.04, '2025-04-11', 9.87, 10.09]]
['中国船舶', '600150', 1307, ['2025-04-07', 27.32, 29.03, '2025-04-09', 29.47, 29.3, '2025-04-10', 29.25, 29.8]]
['中国国航', '601111', 1278, ['2025-04-07', 6.92, 6.98, '2025-04-09', 7.3, 7.11, '2025-04-11', 7.33, 7.33]]
['兖矿能源', '600188', 1269, ['2025-04-07', 12.09, 12.71, '2025-04-10', 12.73, 12.67, '2025-04-11', 12.64, 12.74]]
['片仔癀', '600436', 1236, ['2025-04-07', 199.51, 199.68, '2025-04-08', 204.8, 202.84, '2025-04-10', 206.0, 208.0]]
['中航沈飞', '600760', 1235, ['2025-03-31', 42.28, 42.67, '2025-04-01', 44.49, 43.54, '2025-04-02', 42.9, 44.49]]
['三峡能源', '600905', 1230, ['2025-04-07', 4.17, 4.17, '2025-04-08', 4.31, 4.27, '2025-04-09', 4.31, 4.32]]
['申万宏源', '000166', 1174, ['2025-04-08', 4.58, 4.64, '2025-04-10', 4.72, 4.67, '2025-04-11', 4.69, 4.69]]
['广发证券', '000776', 1166, ['2025-04-07', 14.58, 14.97, '2025-04-10', 15.49, 15.29, '2025-04-11', 15.34, 15.39]]
['宝丰能源', '600989', 1129, ['2025-04-01', 15.0, 15.01, '2025-04-02', 15.75, 15.29, '2025-04-03', 15.39, 15.58]]
['隆基绿能', '601012', 1121, ['2025-04-08', 14.52, 14.67, '2025-04-10', 15.03, 14.84, '2025-04-11', 14.8, 14.98]]
['洋河股份', '002304', 1116, ['2025-04-07', 73.4, 74.75, '2025-04-09', 75.6, 75.32, '2025-04-10', 75.39, 75.69]]
['中国铁建', '601186', 1086, ['2025-04-07', 7.6, 7.83, '2025-04-08', 8.04, 7.97, '2025-04-10', 8.08, 8.11]]
['恒力石化', '600346', 1065, ['2025-04-07', 14.8, 15.06, '2025-04-10', 15.22, 15.12, '2025-04-11', 15.14, 15.14]]
['保利发展', '600048', 1045, ['2025-04-07', 7.93, 8.09, '2025-04-08', 8.5, 8.27, '2025-04-11', 8.73, 8.88]]
['南方航空', '600029', 1043, ['2025-04-07', 5.43, 5.54, '2025-04-09', 5.73, 5.65, '2025-04-10', 5.73, 5.73]]
['分众传媒', '002027', 1005, ['2025-04-09', 6.53, 6.54, '2025-04-10', 7.18, 6.75, '2025-04-11', 6.96, 7.2]]
['中国重工', '601989', 971, ['2025-04-07', 3.9, 4.04, '2025-04-09', 4.26, 4.15, '2025-04-10', 4.27, 4.29]]
['中科曙光', '603019', 957, ['2025-04-07', 59.4, 61.39, '2025-04-09', 64.6, 63.19, '2025-04-10', 65.28, 66.2]]
['国信证券', '002736', 957, ['2025-04-08', 9.47, 9.66, '2025-04-10', 9.99, 9.78, '2025-04-11', 9.96, 9.97]]
['中国能建', '601868', 950, ['2025-04-07', 2.17, 2.24, '2025-04-08', 2.27, 2.26, '2025-04-10', 2.29, 2.31]]
['中航光电', '002179', 918, ['2025-04-07', 39.52, 40.21, '2025-04-08', 41.3, 40.91, '2025-04-10', 42.75, 42.94]]
['公牛集团', '603195', 913, ['2025-04-08', 68.6, 68.63, '2025-04-09', 72.03, 70.32, '2025-04-10', 70.33, 72.5]]
['航发动力', '600893', 911, ['2025-04-07', 31.7, 32.78, '2025-04-09', 34.3, 32.88, '2025-04-10', 34.36, 34.42]]
['杭州银行', '600926', 910, ['2025-03-31', 14.44, 14.52, '2025-04-01', 14.6, 14.58, '2025-04-03', 14.64, 14.65]]
['国货航', '001391', 883, ['2025-03-24', 6.55, 6.55, '2025-03-26', 6.66, 6.63, '2025-03-28', 6.72, 6.85]]
['招商蛇口', '001979', 876, ['2025-04-07', 9.11, 9.16, '2025-04-08', 9.49, 9.38, '2025-04-11', 9.67, 9.76]]
['盐湖股份', '000792', 876, ['2025-04-08', 15.59, 15.64, '2025-04-09', 16.19, 15.99, '2025-04-11', 16.57, 16.59]]
['中油资本', '000617', 872, ['2025-04-07', 5.95, 6.18, '2025-04-09', 6.74, 6.38, '2025-04-11', 6.9, 7.1]]
['海大集团', '002311', 868, ['2025-04-07', 48.0, 48.53, '2025-04-08', 50.28, 49.95, '2025-04-11', 52.19, 52.44]]
['万泰生物', '603392', 858, ['2025-03-31', 64.07, 64.77, '2025-04-02', 65.18, 65.0, '2025-04-07', 63.3, 64.0]]
['中国卫通', '601698', 847, ['2025-04-07', 17.8, 18.23, '2025-04-09', 19.45, 19.01, '2025-04-10', 19.45, 19.7]]
['中国东航', '600115', 847, ['2025-04-07', 3.56, 3.61, '2025-04-09', 3.76, 3.68, '2025-04-10', 3.75, 3.77]]
['万  科Ａ', '000002', 844, ['2025-04-07', 6.6, 6.81, '2025-04-09', 7.06, 6.93, '2025-04-11', 7.08, 7.13]]
['荣盛石化', '002493', 832, ['2025-04-08', 7.97, 8.04, '2025-04-10', 8.4, 8.13, '2025-04-11', 8.22, 8.3]]
['中国电建', '601669', 819, ['2025-04-07', 4.54, 4.69, '2025-04-08', 4.76, 4.76, '2025-04-10', 4.8, 4.85]]
['上海机场', '600009', 812, ['2025-04-07', 30.66, 31.45, '2025-04-09', 33.16, 32.04, '2025-04-10', 33.02, 33.2]]
['包钢股份', '600010', 806, ['2025-04-01', 1.8, 1.8, '2025-04-03', 1.8, 1.8, '2025-04-07', 1.65, 1.78]]
['宝信软件', '600845', 791, ['2025-04-08', 26.15, 26.19, '2025-04-10', 27.8, 27.15, '2025-04-11', 27.46, 27.58]]
['通威股份', '600438', 779, ['2025-04-08', 17.01, 17.22, '2025-04-10', 17.47, 17.41, '2025-04-11', 17.31, 17.47]]
['光大证券', '601788', 757, ['2025-04-08', 15.85, 16.05, '2025-04-10', 16.48, 16.24, '2025-04-11', 16.42, 16.46]]
['TCL科技', '000100', 747, ['2025-04-09', 3.85, 3.92, '2025-04-10', 4.02, 4.01, '2025-04-11', 3.98, 3.98]]
['兆易创新', '603986', 745, ['2025-03-26', 116.96, 118.5, '2025-04-01', 117.49, 117.19, '2025-04-07', 104.2, 105.0]]
['宁波港', '601018', 715, ['2025-04-07', 3.44, 3.5, '2025-04-09', 3.76, 3.64, '2025-04-10', 3.7, 3.77]]
