['中国海油', '600938', 11758, ['2025-04-07', 23.23, 24.28, '2025-04-10', 24.44, 24.39, '2025-04-11', 24.24, 24.43]]
['比亚迪', '002594', 10702, ['2025-04-08', 327.51, 327.59, '2025-04-10', 336.4, 333.56, '2025-04-16', 352.15, 356.62]]
['招商银行', '600036', 10655, ['2025-04-07', 40.83, 41.29, '2025-04-11', 41.51, 41.01, '2025-04-14', 41.48, 41.68]]
['中国人寿', '601628', 10260, ['2025-03-10', 37.81, 37.83, '2025-03-14', 39.56, 37.99, '2025-03-18', 39.1, 39.54]]
['中国石化', '600028', 6949, ['2025-04-07', 5.38, 5.55, '2025-04-08', 5.67, 5.66, '2025-04-09', 5.63, 5.65]]
['美的集团', '000333', 5441, ['2025-04-07', 67.18, 67.98, '2025-04-10', 71.09, 70.31, '2025-04-11', 70.49, 70.52]]
['邮储银行', '601658', 5225, ['2025-04-01', 5.16, 5.17, '2025-04-03', 5.22, 5.2, '2025-04-07', 5.07, 5.13]]
['五 粮 液', '000858', 5135, ['2025-04-07', 126.78, 127.36, '2025-04-08', 130.76, 130.5, '2025-04-11', 131.6, 132.2]]
['紫金矿业', '601899', 4714, ['2025-04-07', 15.41, 15.97, '2025-04-10', 16.75, 16.23, '2025-04-11', 17.15, 17.15]]
['中信银行', '601998', 4089, ['2025-04-07', 6.89, 6.91, '2025-04-10', 7.02, 7.01, '2025-04-11', 7.02, 7.07]]
['中信证券', '600030', 3727, ['2025-04-08', 24.5, 24.82, '2025-04-10', 25.14, 25.0, '2025-04-14', 25.23, 25.44]]
['工业富联', '601138', 3475, ['2025-04-09', 16.33, 16.53, '2025-04-10', 17.96, 17.19, '2025-04-16', 17.5, 18.0]]
['国泰海通', '601211', 2958, ['2025-04-08', 16.03, 16.09, '2025-04-10', 16.59, 16.28, '2025-04-11', 16.75, 16.8]]
['中国太保', '601601', 2919, ['2025-04-07', 29.09, 29.74, '2025-04-10', 30.42, 30.28, '2025-04-11', 30.14, 30.72]]
['海康威视', '002415', 2618, ['2025-04-08', 28.09, 28.1, '2025-04-10', 28.83, 28.58, '2025-04-11', 28.5, 28.6]]
['海天味业', '603288', 2414, ['2025-04-07', 39.3, 39.48, '2025-04-08', 41.2, 40.54, '2025-04-11', 42.04, 42.43]]
['海尔智家', '600690', 2344, ['2025-04-07', 23.58, 25.08, '2025-04-10', 25.51, 25.02, '2025-04-11', 25.07, 25.48]]
['中远海控', '601919', 2276, ['2025-04-07', 12.74, 13.38, '2025-04-10', 14.12, 13.56, '2025-04-11', 14.0, 14.12]]
['中国建筑', '601668', 2264, ['2025-04-07', 5.08, 5.16, '2025-04-08', 5.33, 5.25, '2025-04-10', 5.38, 5.42]]
['光大银行', '601818', 2239, ['2025-04-07', 3.59, 3.67, '2025-04-11', 3.65, 3.64, '2025-04-11', 3.65, 3.65]]
['赛力斯', '601127', 2221, ['2025-04-07', 113.8, 118.51, '2025-04-09', 125.0, 122.1, '2025-04-15', 134.4, 134.96]]
['立讯精密', '002475', 2144, ['2025-04-09', 28.68, 30.62, '2025-04-11', 32.18, 30.49, '2025-04-15', 30.81, 31.6]]
['顺丰控股', '002352', 2108, ['2025-04-07', 40.07, 41.04, '2025-04-10', 42.3, 41.57, '2025-04-11', 41.88, 42.1]]
['中国中车', '601766', 2017, ['2025-04-07', 6.38, 6.71, '2025-04-08', 7.02, 6.84, '2025-04-10', 6.99, 7.22]]
['长城汽车', '601633', 1997, ['2025-04-09', 23.0, 23.04, '2025-04-11', 23.33, 23.02, '2025-04-15', 23.25, 23.6]]
['中国核电', '601985', 1947, ['2025-04-07', 8.99, 9.13, '2025-04-09', 9.28, 9.23, '2025-04-10', 9.27, 9.29]]
['国电南瑞', '600406', 1897, ['2025-04-07', 21.86, 21.89, '2025-04-08', 23.17, 22.27, '2025-04-10', 23.36, 24.6]]
['中信建投', '601066', 1835, ['2025-04-08', 23.2, 23.36, '2025-04-11', 23.78, 23.5, '2025-04-11', 23.78, 23.82]]
['中国广核', '003816', 1828, ['2025-04-07', 3.41, 3.51, '2025-04-10', 3.56, 3.56, '2025-04-11', 3.53, 3.56]]
['上汽集团', '600104', 1823, ['2025-04-07', 13.92, 14.63, '2025-04-09', 15.2, 14.97, '2025-04-10', 15.05, 15.5]]
['民生银行', '600016', 1760, ['2025-04-07', 3.8, 3.88, '2025-04-11', 3.98, 3.89, '2025-04-14', 3.95, 3.99]]
['中国银河', '601881', 1740, ['2025-04-08', 14.88, 15.04, '2025-04-10', 15.58, 15.37, '2025-04-14', 15.85, 16.05]]
['万华化学', '600309', 1737, ['2025-04-09', 60.17, 60.41, '2025-04-11', 60.2, 60.13, '2025-04-11', 60.2, 60.35]]
['中国联通', '600050', 1710, ['2025-03-20', 5.71, 5.73, '2025-04-02', 5.58, 5.57, '2025-04-07', 5.2, 5.38]]
['宁波银行', '002142', 1619, ['2025-04-09', 23.36, 23.37, '2025-04-10', 23.9, 23.89, '2025-04-11', 23.68, 23.75]]
['中金公司', '601995', 1618, ['2025-04-08', 32.03, 32.33, '2025-04-10', 33.33, 32.84, '2025-04-14', 33.49, 33.78]]
['三一重工', '600031', 1618, ['2025-04-07', 18.0, 18.36, '2025-04-09', 19.12, 18.83, '2025-04-10', 19.1, 19.4]]
['中国交建', '601800', 1518, ['2025-04-07', 8.68, 8.96, '2025-04-08', 9.25, 9.14, '2025-04-10', 9.51, 9.53]]
['韦尔股份', '603501', 1511, ['2025-04-08', 115.15, 120.27, '2025-04-10', 123.0, 121.04, '2025-04-14', 126.62, 130.01]]
['招商证券', '600999', 1504, ['2025-04-08', 17.14, 17.15, '2025-04-10', 17.38, 17.26, '2025-04-11', 17.27, 17.3]]
['中兴通讯', '000063', 1499, ['2025-04-08', 30.36, 31.17, '2025-04-11', 32.08, 31.26, '2025-04-15', 31.53, 31.98]]
['宝钢股份', '600019', 1485, ['2025-04-08', 6.79, 6.88, '2025-04-11', 6.78, 6.77, '2025-04-15', 6.74, 6.81]]
['京东方Ａ', '000725', 1434, ['2025-04-09', 3.73, 3.77, '2025-04-11', 3.76, 3.75, '2025-04-11', 3.76, 3.76]]
['福耀玻璃', '600660', 1432, ['2025-04-08', 53.68, 53.93, '2025-04-10', 54.6, 54.48, '2025-04-14', 54.12, 55.5]]
['洛阳钼业', '603993', 1429, ['2025-04-09', 6.15, 6.39, '2025-04-10', 6.58, 6.54, '2025-04-15', 6.8, 6.9]]
['中国中铁', '601390', 1412, ['2025-04-07', 5.34, 5.46, '2025-04-08', 5.63, 5.55, '2025-04-11', 5.67, 5.72]]
['中煤能源', '601898', 1405, ['2025-04-07', 9.73, 9.91, '2025-04-10', 10.07, 10.04, '2025-04-11', 9.87, 10.09]]
['华泰证券', '601688', 1397, ['2025-04-08', 14.93, 15.19, '2025-04-10', 15.54, 15.32, '2025-04-11', 15.51, 15.57]]
['中国中免', '601888', 1394, ['2025-04-07', 56.57, 58.43, '2025-04-08', 60.79, 59.76, '2025-04-11', 67.95, 69.89]]
['潍柴动力', '000338', 1337, ['2025-04-08', 14.7, 14.86, '2025-04-10', 15.28, 14.99, '2025-04-14', 15.42, 15.73]]
['中国国航', '601111', 1303, ['2025-04-07', 6.92, 6.98, '2025-04-09', 7.3, 7.11, '2025-04-11', 7.33, 7.33]]
['兖矿能源', '600188', 1292, ['2025-04-07', 12.09, 12.71, '2025-04-10', 12.73, 12.67, '2025-04-11', 12.64, 12.74]]
['中国船舶', '600150', 1287, ['2025-04-07', 27.32, 29.03, '2025-04-09', 29.47, 29.3, '2025-04-10', 29.25, 29.8]]
['华夏银行', '600015', 1266, ['2025-03-10', 7.1, 7.11, '2025-03-12', 7.18, 7.17, '2025-03-18', 7.62, 7.7]]
['片仔癀', '600436', 1260, ['2025-04-07', 199.51, 199.68, '2025-04-08', 204.8, 202.84, '2025-04-11', 205.0, 205.2]]
['长安汽车', '000625', 1236, ['2025-04-08', 11.74, 12.02, '2025-04-10', 12.2, 12.07, '2025-04-15', 12.46, 12.59]]
['三峡能源', '600905', 1236, ['2025-04-07', 4.17, 4.17, '2025-04-08', 4.31, 4.27, '2025-04-09', 4.31, 4.32]]
['中航沈飞', '600760', 1225, ['2025-04-07', 41.24, 41.71, '2025-04-09', 44.27, 42.67, '2025-04-14', 44.73, 44.83]]
['申万宏源', '000166', 1171, ['2025-04-08', 4.58, 4.64, '2025-04-10', 4.72, 4.67, '2025-04-11', 4.69, 4.69]]
['广发证券', '000776', 1157, ['2025-04-07', 14.58, 14.97, '2025-04-10', 15.49, 15.29, '2025-04-11', 15.34, 15.39]]
['隆基绿能', '601012', 1135, ['2025-04-08', 14.52, 14.67, '2025-04-10', 15.03, 14.84, '2025-04-11', 14.8, 14.98]]
